state,rank,value
Minnesota,1,189.7
Colorado,2,203
Massachusetts,3,208.3
Hawaii,4,210.7
Arizona,5,214.4
Washington,6,215.7
New Hampshire,7,217
Oregon,8,217.6
Connecticut,9,218.4
New Mexico,10,219.2
Alaska,11,222.2
Maine,12,227.4
North Dakota,13,228.7
Florida,14,229
California,15,230.4
Vermont,16,231.6
Montana,17,231.8
Utah,17,231.8
Rhode Island,19,232
Nebraska,20,232.2
Wyoming,21,233.1
Idaho,22,233.4
South Dakota,23,233.9
Wisconsin,24,238.1
Virginia,25,239.1
Iowa,26,245.1
New Jersey,27,245.4
Delaware,28,250.7
Kansas,29,253.5
North Carolina,30,254.3
Maryland,31,255
New York,32,257.6
Illinois,33,257.8
Texas,34,261.1
Pennsylvania,35,263.3
South Carolina,36,277
Indiana,37,277.5
Georgia,38,278.1
Ohio,39,283.6
Nevada,40,285
Missouri,41,288.6
Michigan,42,293
West Virginia,43,295.5
Kentucky,44,296.4
Tennessee,45,308
Louisiana,46,316.2
Arkansas,47,323
Oklahoma,48,335.2
Alabama,49,339.6
Mississippi,50,352.5
United States,•,254.6
District of Columbia,•,296.9